,gene_name,entrez_id,ensembl_id
568,TRAM2,9697,ENSG00000065308
569,CEP57,9702,ENSG00000166037
570,KIAA0100,9703,ENSG00000007202
571,HERPUD1,9709,ENSG00000051108
572,USP6NL,9712,ENSG00000148429
573,CCP110,9738,ENSG00000103540
574,MLEC,9761,ENSG00000110917
575,TATDN2,9797,ENSG00000157014
576,MRPL19,9801,ENSG00000115364
577,SCRN1,9805,ENSG00000136193
578,EFCAB14,9813,ENSG00000159658
579,KEAP1,9817,ENSG00000079999
580,MELK,9833,ENSG00000165304
581,PLEKHM1,9842,ENSG00000225190
582,C2CD5,9847,ENSG00000111731
583,KIAA0753,9851,ENSG00000198920
584,C2CD2L,9854,ENSG00000172375
585,TOMM70,9868,ENSG00000154174
586,WASHC5,9897,ENSG00000164961
587,KLHL21,9903,ENSG00000162413
588,ARNT2,9915,ENSG00000172379
589,FAM20B,9917,ENSG00000116199
590,NCAPD2,9918,ENSG00000010292
591,PAN2,9924,ENSG00000135473
592,LPGAT1,9926,ENSG00000123684
593,KIF14,9928,ENSG00000118193
594,OXSR1,9943,ENSG00000172939
595,MVP,9961,ENSG00000013364
596,DMTF1,9988,ENSG00000135164
597,GNPDA1,10007,ENSG00000113552
598,HDAC6,10013,ENSG00000094631
599,PARP2,10038,ENSG00000129484
600,MAMLD1,10046,ENSG00000013619
601,DNAJB6,10049,ENSG00000105993
602,SMC4,10051,ENSG00000113810
603,ABCC5,10057,ENSG00000114770
604,ABCB6,10058,ENSG00000115657
605,DNM1L,10059,ENSG00000087470
606,TSPAN3,10099,ENSG00000140391
607,KIF20A,10112,ENSG00000112984
608,ARL4C,10123,ENSG00000188042
609,TRAP1,10131,ENSG00000126602
610,G3BP1,10146,ENSG00000145907
611,MBNL2,10150,ENSG00000139793
612,CEBPZ,10153,ENSG00000115816
613,SLC25A13,10165,ENSG00000004864
614,SORBS3,10174,ENSG00000120896
615,RBM6,10180,ENSG00000004534
616,TXNDC9,10190,ENSG00000115514
617,TRIM13,10206,ENSG00000204977
618,TRIB1,10221,ENSG00000173334
619,MFSD10,10227,ENSG00000109736
620,SLC35B1,10237,ENSG00000121073
621,TIMM17B,10245,ENSG00000126768
622,AKAP8,10270,ENSG00000105127
623,STUB1,10273,ENSG00000103266
624,NET1,10276,ENSG00000173848
625,SMNDC1,10285,ENSG00000119953
626,PAK4,10298,ENSG00000130669
627,TNIP1,10318,ENSG00000145901
628,IKZF1,10320,ENSG00000185811
629,RXYLT1,10329,ENSG00000118600
630,HMG20B,10362,ENSG00000064961
631,MYL9,10398,ENSG00000101335
632,LYPLA1,10434,ENSG00000120992
633,PPIE,10450,ENSG00000084072
634,VAV3,10451,ENSG00000134215
635,LRRC41,10489,ENSG00000132128
636,CRTAP,10491,ENSG00000170275
637,VAT1,10493,ENSG00000108828
638,STK25,10494,ENSG00000115694
639,APPBP2,10513,ENSG00000062725
640,CHERP,10523,ENSG00000085872
641,HYOU1,10525,ENSG00000149428
642,RPP38,10557,ENSG00000152464
643,SLC35A1,10559,ENSG00000164414
644,DRAP1,10589,ENSG00000175550
645,PAICS,10606,ENSG00000128050
646,ST6GALNAC2,10610,ENSG00000070731
647,STAMBP,10617,ENSG00000124356
648,NPRL2,10641,ENSG00000114388
649,IGF2BP2,10644,ENSG00000073792
650,YKT6,10652,ENSG00000106636
651,CGRRF1,10668,ENSG00000100532
652,RRAGA,10670,ENSG00000155876
653,GNB5,10681,ENSG00000069966
654,EBP,10682,ENSG00000147155
655,CNPY3,10695,ENSG00000137161
656,YME1L1,10730,ENSG00000136758
657,TCFL5,10732,ENSG00000101190
658,KDM5B,10765,ENSG00000117139
659,POP4,10775,ENSG00000105171
660,ARPP19,10776,ENSG00000128989
661,ZNF274,10782,ENSG00000171606
662,MTHFD2,10797,ENSG00000065911
663,WASF3,10810,ENSG00000132970
664,UTP14A,10813,ENSG00000156697
665,FRS2,10818,ENSG00000166225
666,CLPX,10845,ENSG00000166855
667,PGRMC1,10857,ENSG00000101856
668,MALT1,10892,ENSG00000172175
669,CPSF4,10898,ENSG00000160917
670,BLCAP,10904,ENSG00000166619
671,TCERG1,10915,ENSG00000113649
672,RNPS1,10921,ENSG00000205937
673,TOMM34,10953,ENSG00000025772
674,PDIA5,10954,ENSG00000065485
675,MLLT11,10962,ENSG00000213190
676,EBNA1BP2,10969,ENSG00000117395
677,TMED10,10972,ENSG00000170348
678,ASCC3,10973,ENSG00000112249
679,SLC27A3,11000,ENSG00000143554
680,KIF2C,11004,ENSG00000142945
681,CCDC85B,11007,ENSG00000175602
682,TLK2,11011,ENSG00000146872
683,KDELR2,11014,ENSG00000136240
684,RAB31,11031,ENSG00000168461
685,B4GAT1,11041,ENSG00000174684
686,UBE2C,11065,ENSG00000175063
687,DUSP14,11072,ENSG00000276023
